s,AgentsInside,AgentsInsideMesh,ExitCounter,ExitCounter,ExitCounter,ExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,Agents,FED_Index,FED_Index
EVAC_Time,AllAgents,MainEvacGrid,Exit1,Exit2,Exit3,Exit4,Exit1,Exit2,Exit3,Exit4,Number_of_Deads,FED_max,FED_max_alive
 9.20000E+001,      26,      26,       0,       0,      38,      16,       0,       0,      15,       0,       0, 2.51756E-004, 2.51756E-004
 9.30000E+001,      25,      25,       0,       0,      39,      16,       0,       0,      14,       0,       0, 2.51756E-004, 2.51756E-004
 9.40000E+001,      24,      24,       0,       0,      40,      16,       0,       0,      13,       0,       0, 2.51756E-004, 2.51756E-004
 9.50000E+001,      24,      24,       0,       0,      40,      16,       0,       0,      14,       0,       0, 2.51756E-004, 2.51756E-004
 9.60000E+001,      24,      24,       0,       0,      40,      16,       0,       0,      14,       0,       0, 2.51756E-004, 2.51756E-004
 9.70000E+001,      23,      23,       0,       0,      41,      16,       0,       0,      13,       0,       0, 2.51756E-004, 2.51756E-004
 9.80000E+001,      23,      23,       0,       0,      41,      16,       0,       0,      13,       0,       0, 2.51756E-004, 2.51756E-004
 9.90000E+001,      22,      22,       0,       0,      42,      16,       0,       0,      12,       0,       0, 2.51756E-004, 2.51756E-004
 1.00000E+002,      22,      22,       0,       0,      42,      16,       0,       0,      12,       0,       0, 2.51756E-004, 2.51756E-004
 1.01000E+002,      21,      21,       0,       0,      43,      16,       0,       0,      11,       0,       0, 2.51756E-004, 2.51756E-004
 1.02000E+002,      21,      21,       0,       0,      43,      16,       0,       0,      11,       0,       0, 2.51756E-004, 2.51756E-004
 1.03000E+002,      21,      21,       0,       0,      43,      16,       0,       0,      12,       0,       0, 2.51756E-004, 2.51756E-004
 1.04000E+002,      20,      20,       0,       0,      44,      16,       0,       0,      11,       0,       0, 2.51756E-004, 2.51756E-004
 1.05000E+002,      20,      20,       0,       0,      44,      16,       0,       0,      12,       0,       0, 2.51756E-004, 2.51756E-004
 1.06000E+002,      19,      19,       0,       0,      45,      16,       0,       0,      11,       0,       0, 2.51756E-004, 2.51756E-004
 1.07000E+002,      18,      18,       0,       0,      46,      16,       0,       0,      10,       0,       0, 2.51756E-004, 2.51756E-004
 1.08000E+002,      18,      18,       0,       0,      46,      16,       0,       0,      10,       0,       0, 2.51756E-004, 2.51756E-004
 1.09000E+002,      16,      16,       0,       0,      48,      16,       0,       0,       8,       0,       0, 2.51756E-004, 2.51756E-004
 1.10000E+002,      16,      16,       0,       0,      48,      16,       0,       0,       8,       0,       0, 2.51756E-004, 2.51756E-004
 1.11000E+002,      15,      15,       0,       0,      49,      16,       0,       0,       7,       0,       0, 2.51756E-004, 2.51756E-004
 1.12000E+002,      15,      15,       0,       0,      49,      16,       0,       0,       7,       0,       0, 2.51756E-004, 2.51756E-004
 1.13000E+002,      14,      14,       0,       0,      50,      16,       0,       0,       6,       0,       0, 2.51756E-004, 2.51756E-004
 1.14000E+002,      14,      14,       0,       0,      50,      16,       0,       0,       6,       0,       0, 2.51756E-004, 2.51756E-004
 1.15000E+002,      13,      13,       0,       0,      51,      16,       0,       0,       5,       0,       0, 2.51756E-004, 2.51756E-004
 1.16000E+002,      13,      13,       0,       0,      51,      16,       0,       0,       5,       0,       0, 2.51756E-004, 2.51756E-004
 1.17000E+002,      12,      12,       0,       0,      52,      16,       0,       0,       4,       0,       0, 2.51756E-004, 2.51756E-004
 1.18000E+002,      12,      12,       0,       0,      52,      16,       0,       0,       4,       0,       0, 2.51756E-004, 2.51756E-004
 1.19000E+002,      12,      12,       0,       0,      52,      16,       0,       0,       4,       0,       0, 2.51756E-004, 2.51756E-004
 1.20000E+002,      11,      11,       0,       0,      53,      16,       0,       0,       3,       0,       0, 2.51756E-004, 2.51756E-004
